City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Dubbo,AU,2021-05-31 00:03:58,-32.25,148.6167,50.13,76,0,10.36
280,Monrovia,LR,2021-05-31 00:07:37,6.3005,-10.7969,74.97,85,100,7.65
281,Odienne,CI,2021-05-31 00:07:37,9.51,-7.5692,74.03,90,62,3.51
282,Olinda,BR,2021-05-31 00:07:37,-8.0089,-34.8553,76.82,84,64,7.09
283,Namuac,PH,2021-05-31 00:07:38,18.6109,121.1657,85.21,71,36,2.13
284,Bengkulu,ID,2021-05-31 00:03:48,-3.8004,102.2655,74.98,87,63,2.95
285,Parczew,PL,2021-05-31 00:07:38,51.6402,22.9006,50.61,92,44,7.27
286,Bouna,CI,2021-05-31 00:07:38,9.2667,-3.0,75.27,90,97,7.83
287,Turka,UA,2021-05-31 00:07:38,49.1541,23.0297,47.25,99,100,5.3
288,Edgewater,US,2021-05-31 00:07:39,28.9889,-80.9023,80.33,78,20,8.05
289,Gafanha Da Encarnacao,PT,2021-05-31 00:07:39,40.6181,-8.733,64.89,68,6,2.17
290,Grindavik,IS,2021-05-31 00:06:17,63.8424,-22.4338,44.56,93,20,16.84
291,Pavilosta,LV,2021-05-31 00:07:39,56.8879,21.1859,40.91,69,2,2.48
292,Esperance,AU,2021-05-31 00:07:39,-33.8667,121.9,55.24,82,88,27.74
293,Murgab,TM,2021-05-31 00:07:40,37.4966,61.9714,76.87,53,0,9.44
